First Author,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",University,Region,Degree area,Lab Size,Highest Degree,Other Jornals Published in,Publications,Career Years,Publication Rate,event_cnt,fatality_cnt,injury_cnt,World Rank,Teaching,Research
Kumiko Goto,"Kumiko Goto, Yoshihiko Chiba, Miwa Misawa",IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells,Cytokine 46 (2009) 96�99,10.1016/j.cyto.2008.12.021,2009,,,,,1,Duplicated lane within blot,1,,,,1.0,1,Hoshi University,Japan,Pharmacology,,Ph.D.,Elsevier Science,28.0,13.0,2.15,82.0,223.0,10.0,,,
Kyoung Sik Park,Kyoung Sik Park (only one author),"Aucubin, a naturally occurring iridoid glycoside inhibits TNF-_-induced inflammatory responses through suppression of NF-_B activation in 3T3-L1 adipocytes",Cytokine 62 (2013) 407�412,10.1016/j.cyto.2013.04.005,2013,,,,,1,Multiple cases of duplicated bands within same blot panel,1,,,,1.0,1,Cheongju University,Korea,Genetic Engineering,,,Elsevier Science,66.0,20.0,3.3,11.0,90.0,3.0,,,
LI MA,"LI MA, YUEPING LIU, CUIZHI GENG, XIAOWEI QI, and JUN JIANG",Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1993-2000, 2013",10.3892/ijo.2013.1903,2013,,,,1.0,,Overlapping microscopy images,1,9/16/2016,,1.0,,1,Third Military Medical University,China,Chemistry,,PhD,"Ingenta plc, Spandidos Publications",2970.0,34.0,87.35,426.0,4945.0,318.0,,,
Laura W. Schrum,"Laura W. Schrum, Ian Marriott, Betsy R. Butler, Elaine K. Thomas, Michael C. Hudson, and Kenneth L. Bost",Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast,"Infect. Immun. Mar. 2003, p. 1209�1216",10.1128/IAI.71.3.1209-1216.2003,2003,IAI,,1.0,,,duplicated microscopoy images,CHECK,,,,1.0,1,University of North Carolina at Charlotte,USA,Biology,,PhD,"Atypon, Europe PubMed Central, PubMed Central",58.0,19.0,3.05,2992.0,96.0,50.0,,,
Laurent Guillon,"Laurent Guillon, Maher El Mecherki, Stephan Altenburger, Peter L. Graumann, and Isabelle J. Schalk",High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,"Environmental Microbiology (2012) 14(8), 1982�1994",10.1111/j.1462-2920.2012.02741.x,2012,,,1.0,,,Duplicated set of images - most likely an error,1,2/23/2016,,1.0,,1,Université de Strasbourg-CNRS,France,,,,"Ovid Technologies, Inc., Wiley",27.0,18.0,1.5,22.0,10.0,28.0,,,
Lei-Chin Chen,"Lei-Chin Chen, Jung-Chi Chen, Jwu-Ching Shu, Chien-Yen Chen, Ssu-Ching Chen, Shu-Hwa Chen, Chun-Yen Lin, Chi-Yu Lu, and Chien-Cheng Chen",Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse,"Environmental Microbiology (2012) 14(10), 2788�2799",10.1111/j.1462-2920.2012.02788.x,2012,,,1.0,,,Multiple cases of duplicated blot panels,1,2/23/2016,,1.0,,1,I-Shou University,Taiwan,Nutrition,,,"Ovid Technologies, Inc., Wiley",26.0,19.0,1.37,68.0,540.0,19.0,,,
Li Han,"Li Han, Yafeng Wang, Xiaojuan Guo, Yubing Zhou, Jingmin Zhang, Ning Wang, Jinhua Jiang, Fang Ma, and Qingduan Wang",Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells,"BioMed Research International, Volume 2014, Article ID 164391",10.1155/2014/164391,2014,,,,1.0,,Shifted actin blot panels,1,12/5/2016,1.0,,,1,Zhang Zhongjing College of Chinese Medicine,China,Pharmacy,,,"Europe PubMed Central, Hindawi Limited, PubMed Central",1729.0,20.0,86.45,426.0,4945.0,318.0,,,
Li Li,"Li Li, Ji-kun Du, Li-yi Zou, Tie Wu, Yong-woo Lee, and Yong-ho Kim",Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid __-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 467245",10.1155/2013/467245,2013,,1.0,,1.0,,Multiple cases of shifted or rotated blot panels,1,9/3/2014,,1.0,,1,Guangdong Medical College,China,Pharmacology,,PhD,"Europe PubMed Central, Hindawi Limited, PubMed Central",12573.0,64.0,196.45,426.0,4945.0,318.0,,,
Lilian Amrein,"Lilian Amrein, May Shawi, Jeremy Grenier, Raquel Aloyz, and Lawrence Panasci",The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro,"Int. J. Cancer: 133, 247�252 (2013)",10.1002/ijc.27989,2013,,,1.0,,,Duplicated control blot panel,1,8/7/2015,,1.0,,1,McGill University,Canada,Oncology,,PhD,"Europe PubMed Central, Ovid Technologies, Inc., PubMed Central, Wiley",24.0,18.0,1.33,174.0,7.0,10.0,34,74.4,80.4
Liliana O. Rocha,"Liliana O. Rocha, Sabina Moser Tralamazza, Gabriela M. Reis, Leon Rabinovitch, Cynara B. Barbosa, Benedito Corre_a",Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki,"PLOS One, April 2014 | Volume 9 | Issue 4 | e92189",10.1371/journal.pone.0092189,2014,04April,,1.0,,,Duplicated FACS panels,1,8/12/2014,,1.0,,1,University of São Paulo,Brazil,Microbiology,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",20.0,12.0,1.67,214.0,1743.0,103.0,158,63.0,65.7
Lu Wang,"Lu Wang, Zibo Zhao, Mark B. Meyer, Sandeep Saha, Menggang Yu, Ailan Guo, Kari B. Wisinski, Wei Huang, Weibo Cai, J. Wesley Pike, Ming Yuan, Paul Ahlquist, and Wei Xu",CARM1 Methylates Chromatin Remodeling Factor BAF155 to Enhance Tumor Progression and Metastasis,"Cancer Cell 25, 21�36, January 13, 2014",10.1016/j.ccr.2013.12.007,2014,,,,,1,"Overlapping microscopy, manipulated images of mice",1,7/11/2016,,1.0,,1,University of Wisconsin-Madison,USA,Mathematics,,PhD,"Elsevier Science, Europe PubMed Central, PubMed Central",4938.0,25.0,197.52,2992.0,96.0,50.0,31,76.1,80.1
Luke Martin McCaffrey,"Luke Martin McCaffrey, JoAnne Montalbano, Constantina Mihai, and Ian G. Macara",Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,"Cancer Cell 22, 601�614, November 13, 2012",10.1016/j.ccr.2012.10.003,2012,,,,1.0,,"Duplicated blot, stretched",1,8/8/2016,,1.0,,1,McGill University,Canada,Pharmacology,,PhD,"Elsevier Science, Europe PubMed Central, PubMed Central",11.0,14.0,0.79,174.0,7.0,10.0,34,74.4,80.4
M Hýzd'alová ,"M. Hyzd�alov�, J. Hofmanov�, J. Pachern�k, A. Vaculov�, A. Kozub�keSung",The interaction of butyrate with TNF-alpha during differentiation and apoptosis of colon epithelial cells: role of NF-kappaB activation,Cytokine 44 (2008) 33�43,10.1016/j.cyto.2008.06.003,2008,,,1.0,,,Duplicated blot panel,1,,,,1.0,1,Academy of Sciences of the Czech Republic,Czech Republic,Cytokinetics,,PhD,Elsevier Science,,,,1.0,0.0,0.0,,,
M. Sisto,"M. Sisto, S. Lisi, D. Castellana, P. Scagliusi, M. D'Amore, S. Caprio, A. Scagliusi, A. Acquafredda, M.A. Panaro, V. Mitolo",Autoantibodies from Sj�gren's syndrome induce activation of both the intrinsic and extrinsic apoptotic pathways in human salivary gland cell line A-253,Journal of Autoimmunity 27 (2006) 38-49,10.1016/j.jaut.2006.05.001,2006,,,,,1,"Overlapping microscopy, duplicated bands within blots",1,,,,1.0,1,University of Bari,Italy,Human Anatomy and Histology,,PhD,Elsevier Science,51.0,38.0,1.34,55.0,59.0,11.0,,,
MICHIYO YAMAMURA,"MICHIYO YAMAMURA, KAZUMA NOGUCHI, YOSHIRO NAKANO, EMI SEGAWA, YUSUKE ZUSHI, KAZUKI TAKAOKA, HIROMITSU KISHIMOTO, TOMOKO HASHIMOTO-TAMAOKI, and MASAHIRO URADE",Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 873-880, 2013",10.3892/ijo.2013.1761,2013,,,,1.0,,"Shifted blots, representing different proteins",1,9/22/2016,,1.0,,1,Hyogo College of Medicine,Japan,Medicine,,PhD,"Ingenta plc, Spandidos Publications",11.0,8.0,1.38,82.0,223.0,10.0,,,
Manasa K. Nayak,"Manasa K. Nayak, Ayusman Dash, Nitesh Singh, Debabrata Dash",Aspirin Delimits Platelet Life Span by Proteasomal Inhibition,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049",10.1371/journal.pone.0105049,2014,08August,,,,1,Duplicated set of lanes within the same panel,1,12/12/2014,,1.0,,1,Banaras Hindu University,India,Biochemistry,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",30.0,12.0,2.5,1265.0,7069.0,217.0,,,
Mao-Lin Ho,"Mao-Lin Ho, Yih-Shou Hsieh, Jia-Yuh Chen, Kuo-Shuen Chen, Jia-Jing Chen, Wu-Hsien Kuo, Shu-Jiuan Lin, and Pei-Ni Chen",Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo,"Evidence-Based Complementary, and Alternative Medicine, Volume 2011, Article ID 507920",10.1155/2011/507920,2011,,,,1.0,,Two sets of rotated microscopy images,1,11/11/2015,,1.0,,1,Chung Shan Medical University,Taiwan,Biochemistry,,,"Europe PubMed Central, Hindawi Limited, PubMed Central",4.0,12.0,0.33,68.0,540.0,19.0,,,
Maria de Lujan Alvarez,"Maria de Lujan Alvarez, Ariel D. Quiroga, Mar�a Teresa Ronco, Juan Pablo Parody, J. Elena Ochoa, Juan A. Monti, Cristina E. Carnovale, Mar�a Cristina Carrillo ",Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers,Cytokine 36 (2006) 245�253,10.1016/j.cyto.2007.01.002,2006,,,,1.0,,Mirrored blot,1,,,,1.0,1,National University of Rosario,Argentina,Experimental Physiology,,,"Elsevier Science, Ovid Technologies, Inc.",32.0,19.0,1.68,7.0,9.0,0.0,,,
Marilena Galdiero,"Marilena Galdiero, Mariateresa Vitiello, Marina D�Isanto, Katia Raieta, Emilia Galdiero",STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6,Cytokine 36 (2006) 218�228,10.1016/j.cyto.2006.12.003,2006,,,1.0,,,Multiple cases of duplicated blots,1,,,,1.0,1,Second University of Naples,Italy,Experimental Medicine,,Ph.D.,"Elsevier Science, Ovid Technologies, Inc.",60.0,25.0,2.4,55.0,59.0,11.0,,,
Marina S. Savchenko,"Marina S. Savchenko, Alexandr V. Bazhin, Olga N. Shifrina, Sofia A. Demoura, Eugenia A. Kogan, Alexandr G. Chuchalin, Pavel P. Philippov",Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,"Lung Cancer (2003) 41, 363__/367",10.1016/S0169-5002(03)00239-3,2003,,,,1.0,,Duplicated blot strips,1,7/5/2016,1.0,,,1,M.V. Lomonosov Moscow State University,Russia,Cell Signalling,,,Elsevier Science,6.0,14.0,0.43,13.0,7.0,0.0,,,
Markus Neumeier,"Markus Neumeier, Sabrina Bauer, Hilke Bru_hl, Kristina Eisinger, Andrea Kopp, Sabine Abke, Roland Walter, Andreas Sch�ffler, Christa Buechler n","Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes",Cytokine 56 (2011) 573�580,10.1016/j.cyto.2011.08.017,2011,,,,1.0,,"Two cases of duplicated blots, different exposure",1,6/1/2013,,1.0,,1, Regensburg University Hospital,Germany,Internal Medicine,,,Elsevier Science,70.0,14.0,5.0,3.0,1.0,10.0,,,
Meiou Dai,"Meiou Dai, Amal A Al-Odaini, Ani Arakelian, Shafaat A Rabbani, Suhad Ali, and Jean-Jacques Lebrun",A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion,"Breast Cancer Research 2012, 14:R127",10.1186/bcr3322,2012,,,1.0,,,Duplicated blot panels,1,3/28/2017,,1.0,,1,McGill University Health Center,Canada,Oncology,,PhD,"BioMed Central, Europe PubMed Central, PubMed Central",40.0,14.0,2.86,174.0,7.0,10.0,,,
Meiou Dai,"Meiou Dai, Amal A Al-Odaini, Nade_ge Fils-Aim�, Manuel A Villatoro, Jimin Guo, Ani Arakelian, Shafaat A Rabbani, Suhad Ali, and Jean Jacques Lebrunn",Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion,"Breast Cancer Research 2013, 15:R49",10.1186/bcr3441,2013,,,,1.0,,Overlapping microscopy images,1,3/28/2017,,1.0,,1,McGill University Health Center,Canada,Oncology,,PhD,"BioMed Central, Europe PubMed Central, PubMed Central",40.0,14.0,2.86,174.0,7.0,10.0,,,
Meleri Jones,"Meleri Jones, Inga R. Dry, Dan Frampton, Manuraj Singh, Ravinder K. Kanda, Michael B. Yee, Paul Kellam, Michael Hollinshead, Paul R. Kinchington, Edel A. O�Toole, Judith Breuer ",RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003896",10.1371/journal.ppat.1003896,2014,01January,,,1.0,,Duplicated shifted blot panel,1,7/22/2014,,1.0,,1,University College London,UK,Infection and Immunity,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science, Spiral, Imperial College Digital Repository",34.0,18.0,1.89,229.0,4.0,5.0,17,83.5,88.8
Michael J. Wheeler,"Michael J. Wheeler, Barend H. J. de Graaf, Natalie Hadjiosif, Ruth M. Perry, Natalie S. Poulter, Kim Osman, Sabina Vatovec, Andrea Harper, F. Christopher H. Franklin, & Vernonica E. Franklin-Tong",Identification of the pollen self-incompatibility determinant in Papaver rhoeas,"Nature, Vol 459|18 June 2009",10.1038/nature08027,2009,,,,,1,Duplicated area within the same blot,1,3/3/2016,,1.0,,1,University of Birmingham,UK,Bioscience,,,"Europe PubMed Central, Nature Publishing Group, Ovid Technologies, Inc., PubMed Central",37.0,19.0,1.95,229.0,4.0,5.0,158,44.8,46.7
Michael Waters,"Michael Waters, Amanda Savoie, Helen S. Garmory, Dawn Bueschel, Michel R. Popoff, J. Glenn Songer, Richard W. Titball, Bruce A. McClane, and Mahfuzur R. Sarker",Genotyping and Phenotyping of Beta2-Toxigenic Clostridium perfringens Fecal Isolates Associated with Gastrointestinal Diseases in Piglets,"J. Clin. Microbiol. 2003, 41(8):3584",10.1128/JCM.41.8.3584-3591.2003,2003,JCM,1.0,,,1,bands in gel appear to be spliced in,1,,,,1.0,1,Oregon State University,USA,Microbiology,,,"Atypon, Europe PubMed Central, PubMed Central",568.0,29.0,19.59,2992.0,96.0,50.0,276-300,27.1,24.2
Michael Waters,"Michael Waters, Deepa Raju, Helen S. Garmory, Michel R. Popoff, and Mahfuzur R. Sarker",Regulated Expression of the Beta2-Toxin Gene ( cpb2) in Clostridium perfringens Type A Isolates from Horses with Gastrointestinal Diseases,"J. Clin. Microbiol. 2005, 43(8):4002",10.1128/JCM.43.8.4002-4009.2005,2005,JCM,1.0,,,1,"duplicated background, pasted-in bands?",1,,,,1.0,1,Oregon State University,USA,Microbiology,,,"Atypon, Europe PubMed Central, PubMed Central",568.0,29.0,19.59,2992.0,96.0,50.0,276-300,27.1,24.2
Michelle Khai Khun Yap,"Michelle Khai Khun Yap, Nget Hong Tan, Si Mui Sim, Shin Yee Fung, Choo Hock Tan",Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits,PLOS Neglected Tropical Diseases June 2014 | Volume 8 | Issue 6 | e28901,10.1371/journal.pntd.0002890,2014,01January,,,,1,"duplicated, stretched blot panels with duplicated area within blot",1,9/30/2014,,1.0,,1,University of Malaya,Malaysia,CENAR and Molecular Medicine,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",15.0,8.0,1.88,171.0,99.0,7.0,,,
Min-Hee Cho,"Min-Hee Cho, Hae-Jeong Ahn, Hyun-Joon Ha, Jungchan Park, Jeong-Hoon Chun, Bong-Su Kim, Hee-Bok Oh, and Gi-eun Rhie",Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__,"Infect. Immun. Mar. 2010, p. 994�1003 Vol. 78, No. 3",10.1128/IAI.00956-09,2010,IAI,,,1.0,,"Multiple cases of duplicated blots, stretched",1,,,,1.0,1,National Institute of Health,Korea,High-risk Pathogen Research,,,"Atypon, Europe PubMed Central, PubMed Central",14.0,16.0,0.88,11.0,90.0,3.0,,,
Miti Jearaphunt,"Miti Jearaphunt, Chadanat Noonin, Pikul Jiravanichpaisal, Seiko Nakamura, Anchalee Tassanakajon, Irene So_derh�ll, Kenneth S�derh�llati",Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,"PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059",10.1371/journal.ppat.1004059,2014,04April,,1.0,,,Duplicated microscopy panels,1,5/20/2016,,1.0,,1,Uppsala University,Sweden,Comparative Physiology,,,"Europe PubMed Central, PubMed Central, Public Library of Science",4.0,7.0,0.57,,,,106,48.6,63.9
Mojca Jez,"Mojca Jez, Sakthikumar Ambady, Olga Kashpur, Alexandra Grella, Christopher Malcuit, Lucy Vilner, Primoz Rozman, Tanja Dominko",Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,"PLOS One, February 2014 | Volume 9 | Issue 2 | e89546",10.1371/journal.pone.0089546,2014,02February,1.0,,1.0,,"Duplicated, and shifted GAPDH gel panel",1,7/28/2014,,1.0,,1,,Slovenia,Blood Transfusion,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",11.0,10.0,1.1,1.0,0.0,0.0,,,
Morgan E. Carlson,"Morgan E. Carlson, Michael Hsu, & Irina M. Conboy",Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells,"Nature, Vol. 454, 24 July 2008, page 528",10.1038/nature07034,2008,,,,1.0,,Multiple cases of overlapping microscopy panels,1,10/13/2016,,1.0,,1,"University of California, Berkeley",USA,Bioengineering,,PhD.,"Europe PubMed Central, Nature Publishing Group, Ovid Technologies, Inc., PubMed Central",14.0,11.0,1.27,2992.0,96.0,50.0,9,85.1,99.3
Muyao Li,"Muyao Li, Mickey E. Gunter, Naomi K. Fukagawa",Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby ��six-mix�� amphiboles and subsequent activation of BEAS-2B cells,Cytokine 60 (2012) 718�730,10.1016/j.cyto.2012.08.025,2012,,,1.0,,,Duplicated actin blot,1,6/1/2017,,1.0,,1,University of Vermont,USA,Medicine,,MD,Elsevier Science,24.0,20.0,1.2,2992.0,96.0,50.0,301-350,28.5,20.6
N. Zhi,"N. Zhi, N. Ohashi, Y. Rikihisa, H. W. Horowitz, G. P. Wormser, and K. Hechemy",Cloning and Expression of the 44-Kilodalton Major Outer Membrane Protein Gene of the Human Granulocytic Ehrlichiosis Agent and Application of the Recombinant Protein to Serodiagnosis,"J. Clin. Microbiol. 1998, 36(6):1666-1673",PMID: 9620397,1998,JCM,,1.0,,,duplication of whole blot?,1,,,,1.0,1,Ohio State University,USA,Veterinary Biosciences,,PhD,"Atypon, Europe PubMed Central, PubMed Central",14009.0,61.0,229.66,2992.0,96.0,50.0,53,66.7,60.9
Nabilatul Hani Mohd-Radzman,"Nabilatul Hani Mohd-Radzman, Wan Iryani Wan Ismail, Siti Safura Jaapar, Zainah Adam, and Aishah Adam",Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 938081",10.1155/2013/938081,2013,,,,,1,Same band seen twice in one blot strip,1,6/21/2016,,1.0,,1,,Malaysia,Pharmacy,,PhD,"Europe PubMed Central, Hindawi Limited, PubMed Central",3.0,3.0,1.0,171.0,99.0,7.0,,,
Natalia Lopez-del Hoyo,"Natalia Lopez-del Hoyo, Santiago Lopez-Begines, Jose Luis Rosa, Jeannie Chen, Ana Mendez",Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity,"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480",10.1371/journal.pgen.1004480,2014,07July,,1.0,,,duplicated microscopy panels,1,10/17/2014,,1.0,,1,Bellvitge Biomedical Research Institute (IDIBELL),Spain,Biomedical Research,,PhD,"Diposit Digital de la Universitat de Barcelona, Europe PubMed Central, PubMed Central, Public Library of Science",2.0,2.0,1.0,14.0,19.0,6.0,,,
Nathalie Delgehyr,"Nathalie Delgehyr, Uta Wieland, He_l�ne Rangone, Xavier Pinson, Guojie Mao, Nikola S. Dzhindzhev, Doris McLean,5, Maria G. Riparbelli, Salud Llamazares, Giuliano Callaini, Cayetano Gonzalez, and David M. GloverR","Drosophila Mgr, a Prefoldin subunit cooperating with von Hippel Lindau to regulate tubulin stability","PNAS | April 10, 2012 | vol. 109 | no. 15 | 5729�5734",10.1073/pnas.1108537109,2012,,,1.0,,,,1,11/14/2016,,1.0,,1,University of Cambridge,UK,Biology,,PhD,"Europe PubMed Central, HighWire, PubMed Central",12.0,15.0,0.8,229.0,4.0,5.0,7,91.2,95.6
Nitai C. Hait,"Nitai C. Hait, Jeremy Allegood, Michael Maceyka, Graham M. Strub, Kuzhuvelil B. Harikumar, Sandeep K. Singh, Cheng Luo, Ronen Marmorstein, Tomasz Kordula, Sheldon Milstien, Sarah Spiegel",Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate,"Science 325, 1254 (2009)",10.1126/science.1176709,2009,,,1.0,,,Duplicated blot panel,1,,,,1.0,1,Virginia Commonwealth University,USA,Biochemistry,,Ph.D.,"Atypon, Europe PubMed Central, Ovid Technologies, Inc., PubMed Central",55.0,19.0,2.89,2992.0,96.0,50.0,,,
Niyas Kudukkil Pulloor,"Niyas Kudukkil Pulloor, Sajith Nair, Aleksandar D. Kostic, Pradeep Bist, Jeremy D. Weaver, Andrew M. Riley, Richa Tyagi, Pradeep D. Uchil, John D. York, Solomon H. Snyder, Adolfo Garc�__a-Sastre, Barry V. L. Potter, Rongtuan Lin, Stephen B. Shears, Ramnik J. Xavier, Manoj N. Krishnan",Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response,"PLOS Pathogens, February 2014 | Volume 10 | Issue 2 | e1003981",10.1371/journal.ppat.1003981,2014,02February,,,1.0,,"Duplicated, and shifted western blot panels",1,10/23/2014,,1.0,,1,,Singapore,Emerging Infectious Diseases,,,"Europe PubMed Central, PubMed Central, Public Library of Science",4.0,3.0,1.33,1.0,0.0,0.0,,,
Nobuo Okahashi,"Nobuo Okahashi, Atsuo Sakurai, Ichiro Nakagawa, Taku Fujiwara, Shigetada Kawabata, Atsuo Amano, and Shigeyuki Hamada",Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells,"Infect. Immun. Feb. 2003, p. 948�955 Vol. 71, No. 2",10.1128/IAI.71.2.948-955.2003,2003,IAI,,1.0,,,"duplicated blots, two sets",1,,,,1.0,1,,,Oral and Molecular Microbiology,,,"Atypon, Europe PubMed Central, PubMed Central",31.0,20.0,1.55,,,,,,
Norimitsu Tanaka,"Norimitsu Tanaka, Shinichi Toyooka, Junichi Soh, Takafumi Kubo, Hiromasa Yamamoto, Yuho Maki, Takayuki Muraoka, Kazuhiko Shien, Masashi Furukawa, Tsuyoshi Ueno, Hiroaki Asano, Kazunori Tsukuda, Keisuke Aoe, Shinichiro Miyoshi",Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer,Lung Cancer 76 (2012) 32�38,10.1016/j.lungcan.2011.10.002,2012,,,1.0,,,Duplicated microscopy image; might be error,1,,,1.0,,1,Okayama University,Japan,Cancer and Thoracic Surgery,,,"ClinicalKey, Elsevier Science, Okayama University Scientific Achievement Repository",72.0,20.0,3.6,82.0,223.0,10.0,,,
Noritoshi Kitamoto,"Noritoshi Kitamoto, Takayuki Kobayashi, Yoji Kato, Nobutaka Wakamiya, Kazuyoshi Ikuta, Tomoyuki Tanaka, Shigeharu Ueda, Hiroyuki Miyamoto, and Shiro Kato",Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,"Microbiol. Immunol., 49(3), 219�225, 2005",10.1111/j.1348-0421.2005.tb03723.x,2005,,,,,1,"Possible patches in microscopy, possible duplicated lanes",1,,,1.0,,1,University of Hyogo,Japan,Human Science and Environment,,,Wiley,43.0,17.0,2.53,82.0,223.0,10.0,,,
Paola Massari,"Paola Massari, Jay Gunawardana, Xiuping Liu, and Lee M. Wetzler",Meningococcal Porin PorB Prevents Cellular Apoptosis in a Toll-Like Receptor 2- and NF-__B-Independent Manner__,"Infect. Immun. Mar. 2010, p. 994�1003 Vol. 78, No. 3",10.1128/IAI.00156-09,2010,IAI,,,1.0,,"Duplicated blot panels, different exposure",1,7/8/2015,,1.0,,1,Boston University,USA,BioMedical Research,,PhD,"Atypon, Europe PubMed Central, PubMed Central",46.0,19.0,2.42,2992.0,96.0,50.0,54,65.4,50.9
Pascale Gerbaud,"Pascale Gerbaud, Lo�c Petzold, Patrice Therond, Wayne B. Anderson, Daniele Evain-Brion, Francoise Raynaud","Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psoriatic human fibroblasts",Journal of Autoimmunity 24 (2005) 69-78,10.1016/j.jaut.2004.10.003,2005,,,1.0,,,Duplicated blot panel,1,,,,1.0,1,Université René Descartes,France,Pharmaceutical and Biological Sciences,,PhD,Elsevier Science,23.0,17.0,1.35,22.0,10.0,28.0,,,
Patrick C. Y. Woo,"Patrick C. Y. Woo, Susanna K. P. Lau, Beatrice H. L. Wong, Kwok-Hung Chan, Wai-Ting Hui, Grace S. W. Kwan, J. S. Malik Peiris, Robert B. Couch, and Kwok-Yung Yuen",False-Positive Results in a Recombinant Severe Acute Respiratory Syndrome-Associated Coronavirus (SARS-CoV) Nucleocapsid Enzyme-Linked Immunosorbent Assay Due to HCoV-OC43 and HCoV-229E Rectified by Western Blotting with Recombinant SARS-CoV Spike Polypeptide,"J. Clin. Microbiol. 2004, 42(12):5885",10.1128/JCM.42.12.5885-5888.2004,2004,JCM,,1.0,,,two similar looking western blot strips,1,,,,1.0,1,University of Hong Kong,Hong Kong,Microbiology,,MD,"Atypon, Europe PubMed Central, PubMed Central",463.0,21.0,22.05,2.0,2.0,0.0,35,78.4,85.9
